#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features,Website
19,tablet vs smartphone,4,4,,150,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,9,15,25,12/31/2019 12:37,,"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks, Video, Shopping results",monetate.com
20,tablet or smartphone,1,1,,40,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,10,14,3.5,1/13/2020 15:11,Featured snippet,"Shopping results, Thumbnail, Featured snippet, People also ask, Sitelinks, Top stories, Image pack",monetate.com
21,monetate careers,2,2,,90,https://monetate.com/about/,3,13,,12/29/2019 19:05,,"Adwords top, Sitelinks, People also ask",monetate.com
22,monitate,1,1,,40,https://monetate.com/,5,13,0.01,12/31/2019 7:56,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
23,smartphone vs tablet,4,4,,100,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,10,11,0.25,1/7/2020 18:19,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Video",monetate.com
24,smartphone and tablets,4,5,11/29/2019 4:25,100,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,13,10,0.45,12/27/2019 13:41,,"Shopping results, Thumbnail, People also ask, Sitelinks, Top stories, Adwords bottom, Knowledge panel",monetate.com
25,brandon atkinson,4,3,12/21/2019 8:27,100,https://monetate.com/blog/news/monetate-appoints-brandon-atkinson-as-chief-operating-officer/,0,10,0.6,1/21/2020 17:18,,"Top stories, Thumbnail",monetate.com
26,what is monetate,1,1,,30,https://monetate.com/,2,9,,1/5/2020 16:10,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
27,monetate com,1,1,,30,https://monetate.com/,7,9,,1/4/2020 7:07,,"Sitelinks, People also ask, Image pack, Adwords bottom",monetate.com
28,constellation research,12,11,1/9/2020 11:00,700,https://monetate.com/blog/constellation-research-declares-ai-driven-personalization-the-answer/,7,9,2.5,1/18/2020 5:46,,"Sitelinks, Tweet box, Top stories, Thumbnail, Video",monetate.com
29,streetlight effect,7,8,12/16/2019 9:19,150,https://monetate.com/blog/the-streetlight-effect-are-you-looking-for-answers-in-all-the-wrong-places/,11,9,,1/15/2020 17:46,,"Top stories, Thumbnail, Video",monetate.com
30,farmers insurance commercials,18,15,1/9/2020 17:19,1200,https://monetate.com/blog/strategy-farmers-insurance-ads-mike-linton/,22,8,5,1/17/2020 22:58,,"Top stories, Thumbnail, People also ask, Tweet box",monetate.com
31,monetate inspector,1,1,,20,https://monetate.com/personalization-engine/testing-and-optimization/,2,8,,12/26/2019 20:16,,"Sitelinks, People also ask, Image pack, Adwords bottom",monetate.com
32,caremore careers,10,14,12/7/2019 14:17,350,https://monetate.com/about/careers/,1,8,0.1,1/7/2020 17:36,,,monetate.com
33,monotate,1,1,,20,https://monetate.com/,9,8,,1/22/2020 22:17,,"Adwords top, Sitelinks, People also ask",monetate.com
34,what is a/b testing,19,20,1/17/2020 17:29,3700,https://monetate.com/glossary/ab-testing/,80,7,,1/20/2020 10:03,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",monetate.com
35,tablet websites,1,1,,20,https://monetate.com/blog/the-10-best-tablet-friendly-website-experiences-of-2011/,3,7,1.8,12/24/2019 14:54,Featured snippet,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, Image pack, Adwords bottom, Shopping results",monetate.com
36,smartphone and tablet,6,8,12/1/2019 11:45,100,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,13,7,0.45,12/31/2019 1:19,,"People also ask, Sitelinks, Top stories, Thumbnail, Shopping results, Knowledge panel",monetate.com
37,monetate knowledge base,1,1,,20,https://monetate.com/resources/,2,7,,1/8/2020 14:15,,"Sitelinks, People also ask, Image pack, Video",monetate.com
38,monetate login,1,1,,20,https://monetate.com/,3,7,,1/11/2020 10:49,,"Sitelinks, People also ask",monetate.com
39,monetate ab testing,1,1,,20,https://monetate.com/glossary/ab-testing/,7,6,20,1/12/2020 8:57,,"Top stories, Thumbnail, Adwords bottom, Sitelinks",monetate.com
40,monetate api,1,1,,20,https://monetate.com/personalization-engine/data-integrations-and-apis/,1,6,,12/30/2019 18:46,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
41,personalization e commerce,2,1,12/15/2019 10:53,40,https://monetate.com/glossary/ecommerce-personalization/,18,6,12,1/15/2020 7:18,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",monetate.com
42,smartphones and tablets,6,7,12/6/2019 11:27,100,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,9,6,15,1/5/2020 18:03,,"People also ask, Sitelinks, Knowledge panel",monetate.com
43,monetate jobs,2,2,,40,https://monetate.com/,4,6,,1/19/2020 17:23,,"Sitelinks, People also ask, Thumbnail",monetate.com
44,phone vs tablet,5,9,12/2/2019 13:23,70,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,10,6,,1/1/2020 3:19,,"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks",monetate.com
45,customer experience optimization,7,7,,100,https://monetate.com/blog/4-keys-to-utilizing-customer-experience-optimization/,2,5,50,12/28/2019 10:06,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",monetate.com
46,sb monetate,1,1,,20,https://monetate.com/,0,5,,12/25/2019 10:31,,"Adwords top, Sitelinks, People also ask, Video, Image pack",monetate.com
47,tablet vs phone,8,9,12/18/2019 21:34,150,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,9,5,3,1/18/2020 6:04,,"Adwords top, Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Video",monetate.com
48,product recomendations,11,13,12/11/2019 17:06,250,https://monetate.com/glossary/product-recommendations/,5,5,9,1/11/2020 13:22,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Image pack, Top stories, Adwords bottom",monetate.com
49,"monetate, inc.",1,1,,20,https://monetate.com/,8,5,,1/18/2020 13:30,,"Adwords top, Sitelinks, People also ask",monetate.com
50,personalization ecommerce,3,3,,40,https://monetate.com/glossary/ecommerce-personalization/,17,4.9,12,12/23/2019 9:23,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",monetate.com
51,sb monetate net,4,5,12/8/2019 0:29,60,https://monetate.com/,0,4.8,8,1/8/2020 16:56,,"Sitelinks, Image pack",monetate.com
52,monetate personalization,1,1,,10,https://monetate.com/personalization-engine/1-to-1-personalization/,4,4.8,,12/29/2019 21:39,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
53,personalized e commerce,3,2,12/15/2019 20:47,40,https://monetate.com/glossary/ecommerce-personalization/,18,4.7,12,1/15/2020 3:02,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",monetate.com
54,cartrate,2,3,11/30/2019 14:03,30,https://monetate.com/glossary/add-to-cart-rate/,2,4.6,,12/28/2019 16:58,,"Image pack, Video",monetate.com
55,content personalization,9,11,12/6/2019 3:19,150,https://monetate.com/blog/how-to-use-content-personalization-to-win-customers/,8,4.4,11,1/6/2020 11:47,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",monetate.com
56,monetate blog,1,1,,10,https://monetate.com/blog/,12,4.4,,1/7/2020 0:27,,"Sitelinks, Top stories, Thumbnail",monetate.com
57,monetate logo,2,2,,30,https://monetate.com/,1,4.3,,1/7/2020 17:52,,"Image pack, Sitelinks, People also ask",monetate.com
58,what is monetate,2,2,,30,https://monetate.com/about/,2,4.2,,1/5/2020 16:10,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
59,monetate philadelphia,1,1,,10,https://monetate.com/,0,4.2,,1/1/2020 3:07,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
60,individualized marketing,5,6,12/14/2019 16:36,50,https://monetate.com/glossary/individualization/,3,3.9,,1/14/2020 11:04,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Image pack",monetate.com
61,monetate logo,3,3,,30,https://monetate.com/blog/introducing-the-new-monetate/,1,3.8,,1/7/2020 17:52,,"Image pack, Sitelinks, People also ask",monetate.com
62,meilishuo,10,9,11/30/2019 8:25,150,https://monetate.com/blog/what-is-meilishuo-an-introduction-to-the-chinese-pinterest/,1,3.7,,12/29/2019 4:21,,"Image pack, Top stories, Thumbnail, Video",monetate.com
63,monetate inspector,2,2,,20,https://monetate.com/resources/,2,3.3,,12/26/2019 20:16,,"Sitelinks, People also ask, Image pack, Adwords bottom",monetate.com
64,individualization,17,17,,2100,https://monetate.com/glossary/individualization/,9,3,,1/17/2020 1:30,,"Featured snippet, Thumbnail, People also ask, Top stories",monetate.com
65,tablet websites,2,1,11/27/2019 4:15,20,https://monetate.com/blog/the-10-best-tablet-friendly-website-experiences-of-2011/,3,2.8,1.8,12/24/2019 14:54,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, Image pack, Adwords bottom, Shopping results",monetate.com
66,experience optimization,4,4,,30,https://monetate.com/blog/4-keys-to-utilizing-customer-experience-optimization/,1,2.8,,1/8/2020 7:49,,"Adwords top, People also ask, Top stories, Thumbnail, Knowledge panel",monetate.com
67,farmers insurance advertising,9,9,,90,https://monetate.com/blog/strategy-farmers-insurance-ads-mike-linton/,16,2.8,,1/22/2020 3:53,,"Top stories, Thumbnail, People also ask",monetate.com
68,monetate knowledge base,2,2,,20,https://monetate.com/services/,2,2.7,,1/8/2020 14:15,,"Sitelinks, People also ask, Image pack, Video",monetate.com
69,n testing,12,10,12/9/2019 20:06,150,https://monetate.com/glossary/ab-testing/,2,2.7,7,1/9/2020 13:41,,"People also ask, Top stories, Thumbnail",monetate.com
70,personalization engine,8,7,12/11/2019 11:10,70,https://monetate.com/personalization-engine/1-to-1-personalization/,2,2.6,9,1/11/2020 16:07,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",monetate.com
71,monetate logo,5,5,,30,https://www.monetate.com/blog/this-week-today-45,1,2.5,,1/7/2020 17:52,,"Image pack, Sitelinks, People also ask",monetate.com
72,monetate ab testing,2,2,,20,https://monetate.com/personalization-engine/testing-and-optimization/,7,2.4,20,1/12/2020 8:57,,"Top stories, Thumbnail, Adwords bottom, Sitelinks",monetate.com
73,monetate inspector,3,3,,20,https://monetate.com/,2,2.4,,12/26/2019 20:16,,"Sitelinks, People also ask, Image pack, Adwords bottom",monetate.com
74,web personalization,12,13,12/10/2019 1:59,150,https://monetate.com/glossary/website-personalization/,14,2.4,30,1/10/2020 13:27,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",monetate.com
75,what is segmentation,17,16,1/7/2020 14:33,1800,https://monetate.com/glossary/segmentation/,32,2.3,4,1/15/2020 2:48,,"Knowledge card, People also ask, Top stories, Thumbnail",monetate.com
76,monetate conshohocken,6,6,,40,https://monetate.com/contact/,1,2.3,,1/11/2020 6:36,,"People also ask, Image pack",monetate.com
77,farmers insurance marketing,6,5,12/13/2019 5:02,40,https://monetate.com/blog/strategy-farmers-insurance-ads-mike-linton/,2,2.2,20,1/13/2020 12:46,,"People also ask, Top stories, Thumbnail, Image pack",monetate.com
78,monetate api,2,2,,20,https://monetate.com/personalization-engine/,1,2.2,,12/30/2019 18:46,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
79,are the farmers insurance commercials true,14,17,12/20/2019 13:51,250,https://monetate.com/blog/strategy-farmers-insurance-ads-mike-linton/,4,2.2,,1/20/2020 22:25,,"People also ask, Thumbnail",monetate.com
80,n testing,13,13,,150,https://monetate.com/glossary/multivariate-testing/,2,2.1,7,1/9/2020 13:41,,"People also ask, Top stories, Thumbnail",monetate.com
81,website personalization,13,14,12/12/2019 19:52,150,https://monetate.com/glossary/website-personalization/,26,2,16,1/12/2020 8:21,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",monetate.com
82,monetate ab testing,3,3,,20,https://monetate.com/blog/how-to-prioritize-ab-tests/,7,2,20,1/12/2020 8:57,,"Top stories, Thumbnail, Adwords bottom, Sitelinks",monetate.com
83,monetate knowledge base,3,3,,20,https://monetate.com/,2,1.9,,1/8/2020 14:15,,"Sitelinks, People also ask, Image pack, Video",monetate.com
84,are farmers insurance commercials true,14,18,12/22/2019 12:23,200,https://monetate.com/blog/strategy-farmers-insurance-ads-mike-linton/,4,1.8,,1/22/2020 13:08,,"People also ask, Thumbnail",monetate.com
85,monetate blog,2,2,,10,https://monetate.com/,12,1.8,,1/7/2020 0:27,,"Sitelinks, Top stories, Thumbnail",monetate.com
86,site personalization,11,16,12/21/2019 7:15,90,https://monetate.com/glossary/website-personalization/,27,1.8,4,1/21/2020 18:52,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",monetate.com
87,monetate api,3,4,12/1/2019 22:09,20,https://monetate.com/,1,1.8,,12/30/2019 18:46,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
88,monetate personalization,2,2,,10,https://monetate.com/personalization-engine/,4,1.7,,12/29/2019 21:39,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
89,modal window example,2,2,,150,https://monetate.com/blog/10-ways-to-use-modal-windows-to-increase-ecommerce-conversion-rates/,49,1.7,,1/12/2020 20:39,Image pack,"Image pack, People also ask, Sitelinks, Top stories, Thumbnail",monetate.com
90,monetate knowledge base,4,4,,20,https://monetate.com/blog/what-the-and-other-frequently-asked-questions-from-monetate-summit/,2,1.7,,1/8/2020 14:15,,"Sitelinks, People also ask, Image pack, Video",monetate.com
91,we are farmers commercial,14,16,12/6/2019 2:12,350,https://monetate.com/blog/strategy-farmers-insurance-ads-mike-linton/,6,1.7,4,1/6/2020 11:47,,"People also ask, Video",monetate.com
92,personalized marketing,16,19,1/10/2020 11:27,600,https://monetate.com/glossary/personalized-marketing/,40,1.6,15,1/19/2020 12:29,,"Featured snippet, Thumbnail, Sitelinks, People also ask, Adwords bottom",monetate.com
93,monetate ab testing,4,4,,20,https://monetate.com/blog/how-to-generate-better-ab-test-ideas/,7,1.6,20,1/12/2020 8:57,,"Top stories, Thumbnail, Adwords bottom, Sitelinks",monetate.com
94,monetate api,4,4,,20,https://monetate.com/personalization-engine/testing-and-optimization/,1,1.6,,12/30/2019 18:46,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
95,what is personalization,14,13,12/3/2019 4:23,150,https://monetate.com/glossary/personalization/,11,1.6,,1/2/2020 19:02,,"Knowledge card, People also ask, Sitelinks, Image pack",monetate.com
96,which is not true about responsive sites?,13,14,12/8/2019 2:30,100,https://monetate.com/blog/true-or-false-responsive-web-design-is-the-great-big-solve/,0,1.5,,1/8/2020 5:34,,,monetate.com
97,monetate personalization,3,3,,10,https://monetate.com/glossary/personalization/,4,1.5,,12/29/2019 21:39,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
98,smartphone or tablet,10,3,12/11/2019 19:39,60,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,12,1.5,,1/10/2020 20:01,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Image pack",monetate.com
99,to cart,9,25,12/5/2019 20:03,50,https://monetate.com/glossary/add-to-cart-rate/,18,1.5,4.5,1/5/2020 6:07,,"People also ask, Top stories, Thumbnail",monetate.com
100,tablet or smartphone,8,6,12/13/2019 10:28,40,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,10,1.4,3.5,1/13/2020 15:11,,"Shopping results, Thumbnail, Featured snippet, People also ask, Sitelinks, Top stories, Image pack",monetate.com
101,agile commerce,4,6,12/6/2019 5:17,20,https://monetate.com/blog/4-keys-to-transforming-your-business-for-agile-commerce/,0,1.4,,1/5/2020 19:33,,"Adwords top, Sitelinks, Image pack, Top stories, Thumbnail",monetate.com
102,farmers insurance ads,16,12,12/11/2019 16:29,350,https://monetate.com/blog/strategy-farmers-insurance-ads-mike-linton/,18,1.4,4.5,1/11/2020 10:20,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Image pack",monetate.com
103,carnival cmo,6,6,,20,https://monetate.com/blog/carnival-marketing-experience-kathy-tan-mayor/,0,1.3,0.3,1/5/2020 0:41,,"Top stories, Thumbnail, Image pack",monetate.com
104,are the farmers insurance commercials real,15,19,12/13/2019 12:26,200,https://monetate.com/blog/strategy-farmers-insurance-ads-mike-linton/,4,1.3,,1/13/2020 16:18,,"Featured snippet, People also ask, Top stories, Thumbnail, Image pack",monetate.com
105,testing and optimization,7,7,,30,https://monetate.com/blog/how-to-create-a-culture-of-testing-and-optimization/,5,1.3,,1/12/2020 0:49,,People also ask,monetate.com
106,monetate blog,4,4,,10,https://monetate.com/about/,12,1.3,,1/7/2020 0:27,,"Sitelinks, Top stories, Thumbnail",monetate.com
107,true or false website,15,17,12/2/2019 1:55,200,https://monetate.com/blog/true-or-false-responsive-web-design-is-the-great-big-solve/,87,1.2,0.06,12/31/2019 9:43,,Sitelinks,monetate.com
108,what is personalization,15,14,12/3/2019 4:23,150,https://monetate.com/glossary/ecommerce-personalization/,11,1.2,,1/2/2020 19:02,,"Knowledge card, People also ask, Sitelinks, Image pack",monetate.com
109,monetate personalization,4,15,12/1/2019 10:14,10,https://monetate.com/blog/building-the-future-the-monetate-intelligent-personalization-engine/,4,1.2,,12/29/2019 21:39,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
110,farmers insurance dog commercial,16,17,12/12/2019 2:30,200,https://monetate.com/blog/strategy-farmers-insurance-ads-mike-linton/,4,1.1,10,1/12/2020 12:39,,Video,monetate.com
111,are the farmers commercials true,15,15,,150,https://monetate.com/blog/strategy-farmers-insurance-ads-mike-linton/,3,1.1,,1/20/2020 14:23,,Video,monetate.com
112,monetate knowledge base,6,5,12/8/2019 22:46,20,https://monetate.com/blog/the-ultimate-guide-to-retail-personalization/,2,1.1,,1/8/2020 14:15,,"Sitelinks, People also ask, Image pack, Video",monetate.com
113,define individualization,14,18,12/4/2019 7:15,100,https://monetate.com/glossary/individualization/,2,1.1,,1/3/2020 18:07,,"Featured snippet, People also ask",monetate.com
114,david brussin,5,6,12/9/2019 18:06,10,https://monetate.com/about/leadership/,0,1.1,,1/9/2020 11:32,,"Top stories, Thumbnail, Image pack, Video",monetate.com
115,product badges,8,7,12/3/2019 14:47,30,https://monetate.com/blog/product-badging-a-simple-way-to-do-smart-merchandising/,1,1,1.8,1/2/2020 16:09,,"Shopping results, Thumbnail, Featured snippet, Image pack, Sitelinks, Top stories",monetate.com
116,monetate blog,5,4,12/7/2019 5:40,10,https://monetate.com/resources/,12,1,,1/7/2020 0:27,,"Sitelinks, Top stories, Thumbnail",monetate.com
117,monetate pricing,7,6,12/1/2019 17:27,20,https://monetate.com/personalization-engine/1-to-1-personalization/,0,1,1.1,12/30/2019 19:41,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Image pack, Adwords bottom",monetate.com
118,difference between smartphone and tablet,11,13,11/25/2019 19:46,50,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,8,0.99,,12/23/2019 4:08,,"People also ask, Sitelinks, Top stories, Thumbnail, Video, Image pack",monetate.com
119,monetate personalization,5,4,12/1/2019 10:14,10,https://monetate.com/glossary/1-to-1-personalization/,4,0.99,,12/29/2019 21:39,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
120,monetate logo,1,1,,30,https://monetate.com/about/,1,0.99,,1/7/2020 17:52,Image pack,"Image pack, Sitelinks, People also ask",monetate.com
121,monetate logo,1,1,,30,https://monetate.com/,1,0.99,,1/7/2020 17:52,Image pack,"Image pack, Sitelinks, People also ask",monetate.com
122,monetate logo,1,1,,30,https://monetate.com/blog/introducing-the-new-monetate/,1,0.99,,1/7/2020 17:52,Image pack,"Image pack, Sitelinks, People also ask",monetate.com
123,farmers commercials,15,15,,150,https://monetate.com/blog/strategy-farmers-insurance-ads-mike-linton/,12,0.95,6,1/16/2020 9:31,,"Video, People also ask",monetate.com
124,engine 1,14,51,12/18/2019 14:41,90,https://monetate.com/personalization-engine/1-to-1-personalization/,5,0.94,,1/18/2020 0:58,,"Top stories, Thumbnail, Sitelinks, People also ask",monetate.com
125,directv moving special,16,21,12/1/2019 0:35,150,https://monetate.com/blog/directv-uses-ecommerce-personalization-to-boost-conversions/,13,0.9,4,12/31/2019 0:53,,"Adwords top, Sitelinks, People also ask, Video, Image pack",monetate.com
126,personalization technology,13,13,,70,https://monetate.com/blog/understanding-the-technology-that-drives-personalized-marketing/,3,0.89,4,1/16/2020 20:24,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",monetate.com
127,revzilla gear guide,13,15,12/21/2019 4:01,70,https://monetate.com/blog/revzilla-uses-video-to-optimize-ecommerce-shopping/,2,0.88,0.25,1/21/2020 3:56,,"Adwords top, Sitelinks, Video, People also ask",monetate.com
128,monetate knowledge base,7,6,12/8/2019 22:46,20,https://monetate.com/personalization-engine/testing-and-optimization/,2,0.88,,1/8/2020 14:15,,"Sitelinks, People also ask, Image pack, Video",monetate.com
129,personalized technology,8,8,,20,https://monetate.com/blog/understanding-the-technology-that-drives-personalized-marketing/,1,0.88,4,1/11/2020 20:21,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
130,monetate blog,6,6,,10,https://monetate.com/personalization-engine/,12,0.81,,1/7/2020 0:27,,"Sitelinks, Top stories, Thumbnail",monetate.com
131,monetate pricing,8,7,12/1/2019 17:27,20,https://monetate.com/personalization-engine/,0,0.8,1.1,12/30/2019 19:41,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Image pack, Adwords bottom",monetate.com
132,monetate personalization,6,7,12/1/2019 10:14,10,https://monetate.com/personalization-exchange/,4,0.79,,12/29/2019 21:39,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",monetate.com
133,individualizing,17,18,12/18/2019 21:54,150,https://monetate.com/glossary/individualization/,2,0.79,,1/18/2020 9:33,,"Knowledge card, People also ask",monetate.com
134,monetate inc,1,1,,80,https://monetate.com/about/leadership/,7,0.72,,1/4/2020 3:22,Sitelinks,"Adwords top, Sitelinks, People also ask, Thumbnail, Video, Image pack",monetate.com
135,monetate inc,1,1,,80,https://monetate.com/about/careers/,7,0.72,,1/4/2020 3:22,Sitelinks,"Adwords top, Sitelinks, People also ask, Thumbnail, Video, Image pack",monetate.com
136,monetate inc,1,1,,80,https://monetate.com/about/,7,0.72,,1/4/2020 3:22,Sitelinks,"Adwords top, Sitelinks, People also ask, Thumbnail, Video, Image pack",monetate.com
137,monetate inc,1,1,,80,https://monetate.com/personalization-engine/1-to-1-personalization/,7,0.72,,1/4/2020 3:22,Sitelinks,"Adwords top, Sitelinks, People also ask, Thumbnail, Video, Image pack",monetate.com
138,eq2 2018,14,14,,70,https://monetate.com/blog/resources/eq2-2018/,4,0.72,,1/14/2020 9:09,,"Top stories, Thumbnail, People also ask",monetate.com
139,personalization technology,14,16,12/17/2019 16:02,70,https://monetate.com/glossary/personalization/,3,0.72,4,1/16/2020 20:24,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",monetate.com
140,what is maxymiser,10,11,12/2/2019 3:04,30,https://monetate.com/blog/6-reasons-drop-maxymiser-now/,1,0.7,,1/1/2020 16:30,,"Sitelinks, Top stories, Thumbnail, Image pack",monetate.com
141,personalization and customization are part of an e-commerce's:,11,11,,30,https://monetate.com/glossary/ecommerce-personalization/,5,0.68,,1/16/2020 22:48,,"Adwords top, Sitelinks, People also ask",monetate.com
142,are the farmers insurance commercials real claims,14,13,12/17/2019 22:51,70,https://monetate.com/blog/strategy-farmers-insurance-ads-mike-linton/,3,0.67,,1/17/2020 13:53,,"People also ask, Top stories, Thumbnail, Adwords bottom, Sitelinks",monetate.com
143,monetate linkedin,8,8,,20,https://monetate.com/about/leadership/,0,0.67,,1/11/2020 21:31,,Image pack,monetate.com
