,Keyword,Position,Volume,Difficulty,Page URL inside,SERP Features,Website,Coefficient
2234,create mood board,10,400,36,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,11.11111111111111
2426,create your own wedding invitations free,44,350,39,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom, Shopping results",bannersnack.com,8.974358974358974
2449,creating an etsy shop,47,350,30,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Video",bannersnack.com,11.666666666666666
2505,creative blogs,17,350,7,,"Featured snippet, Thumbnail, Image pack",bannersnack.com,50.0
2519,how to create an ad,2,350,33,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, Image pack",bannersnack.com,10.606060606060606
2684,creating videos with music and pictures,51,350,33,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Video, Image pack, Adwords bottom",bannersnack.com,10.606060606060606
2695,create photo slideshow,10,350,39,,"Sitelinks, People also ask, Video",bannersnack.com,8.974358974358974
2706,which of these can be created to run on the display network?,59,350,10,,People also ask,bannersnack.com,35.0
2715,creative poster,5,350,8,,"Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,43.75
2776,creative financial,83,300,19,,"Sitelinks, Video, Image pack",bannersnack.com,15.789473684210526
2790,create etsy shop,41,300,30,,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,10.0
2791,create an etsy shop,31,300,30,,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,10.0
2794,"repetition often implies monotony, yet it also creates a sense of",66,300,1,,Video,bannersnack.com,300.0
2801,patreon top creators,39,300,40,,"Featured snippet, Thumbnail, Sitelinks, People also ask, Top stories, Video",bannersnack.com,7.5
2948,create slide show,102,300,37,Image pack,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Video, Image pack",bannersnack.com,8.108108108108109
3060,how to create a picture slideshow,102,300,22,Image pack,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,13.636363636363637
3067,creative gif,23,300,5,,"Image pack, Top stories, Thumbnail",bannersnack.com,60.0
3085,create birthday invitation card online free,37,300,33,,"Adwords top, Sitelinks, People also ask, Image pack, Top stories, Thumbnail, Adwords bottom",bannersnack.com,9.090909090909092
3173,create a mood board,8,300,39,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,7.6923076923076925
3208,"in advertising, creatives refer to:",75,300,7,,"Featured snippet, People also ask",bannersnack.com,42.857142857142854
3238,create video slideshow,18,300,30,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Video, Adwords bottom",bannersnack.com,10.0
3282,create a photo slideshow,11,300,40,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Video, Image pack",bannersnack.com,7.5
3295,create photo slideshow with music,20,300,38,,"Adwords top, Sitelinks, Featured snippet, People also ask, Video",bannersnack.com,7.894736842105263
3343,how to create a photo slideshow,14,300,24,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Video",bannersnack.com,12.5
3398,create template,65,250,35,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Image pack",bannersnack.com,7.142857142857143
3422,creative advertising ideas,5,250,22,,"Featured snippet, Thumbnail, Image pack, People also ask, Top stories",bannersnack.com,11.363636363636363
3424,creative handwriting,88,250,16,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,15.625
3477,how to create a banner in word,20,250,3,,"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks, Image pack",bannersnack.com,83.33333333333333
3502,transparent image creator,52,250,30,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,8.333333333333334
3515,flag creator game,81,250,24,,"Top stories, Thumbnail, Video",bannersnack.com,10.416666666666666
3596,ecards creator,12,250,27,,"Adwords top, Sitelinks, People also ask, Video, Image pack",bannersnack.com,9.25925925925926
3669,create an advertisement,35,250,31,Image pack,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,8.064516129032258
3707,creating a slideshow,13,250,24,,"Adwords top, Sitelinks, Featured snippet, People also ask, Video",bannersnack.com,10.416666666666666
3708,how to create a bookmark,40,250,17,,"Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,14.705882352941176
3759,how to create an animation,74,250,27,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Video",bannersnack.com,9.25925925925926
3835,create ads,1,250,31,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom",bannersnack.com,8.064516129032258
3895,free download creative fonts for logo design,44,250,40,,"Adwords top, Sitelinks, People also ask, Image pack, Top stories, Thumbnail, Adwords bottom",bannersnack.com,6.25
3902,animated logo creator,77,250,15,,"Adwords top, Sitelinks, Video, Adwords bottom, Knowledge panel",bannersnack.com,16.666666666666668
4041,creative invitations,18,250,10,,"Shopping results, Thumbnail, Top stories, Knowledge panel",bannersnack.com,25.0
4102,how to create an advertisement,2,250,32,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, Image pack",bannersnack.com,7.8125
4140,creative advertisement,1,250,38,Image pack,"Adwords top, Sitelinks, Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,6.578947368421052
4156,create your own email,41,250,35,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Video, Adwords bottom",bannersnack.com,7.142857142857143
4352,how to create a personal brand,63,200,38,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,5.2631578947368425
4387,create itunes podcast,58,200,14,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Image pack",bannersnack.com,14.285714285714286
4460,create ad,3,200,34,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,5.882352941176471
4499,create a banner in word,23,200,3,,"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks, Image pack",bannersnack.com,66.66666666666667
4517,software to create printables,81,200,3,,"Featured snippet, Thumbnail, Top stories",bannersnack.com,66.66666666666667
4519,how to create a video with pictures,21,200,15,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Video, Adwords bottom",bannersnack.com,13.333333333333334
4525,creating a slideshow with music,34,200,23,,"Adwords top, Sitelinks, Featured snippet, People also ask, Video",bannersnack.com,8.695652173913043
4679,how to create your own email,56,200,36,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Video",bannersnack.com,5.555555555555555
4690,most creative websites,38,200,23,,"People also ask, Image pack",bannersnack.com,8.695652173913043
4866,how to create podcast on itunes,97,200,14,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,14.285714285714286
4932,slideshow creater.net,26,200,17,,"Adwords top, Sitelinks, Top stories, Thumbnail, Image pack, Video",bannersnack.com,11.764705882352942
5018,create your own bookmark,3,200,12,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Image pack, Adwords bottom, Shopping results",bannersnack.com,16.666666666666668
5062,create text gif,29,200,25,,"Image pack, Top stories, Thumbnail, People also ask",bannersnack.com,8.0
5110,create your calligraphy name,79,200,30,,"Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,6.666666666666667
5138,create video ads,7,200,21,Video,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Video, People also ask, Adwords bottom",bannersnack.com,9.523809523809524
5194,bookmark creator,2,200,8,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,25.0
5231,creative car credit,91,200,1,,Image pack,bannersnack.com,200.0
5258,create animated text,87,200,13,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,15.384615384615385
5259,advertising creative,16,200,15,Image pack,"Adwords top, Sitelinks, People also ask, Image pack, Top stories, Thumbnail, Adwords bottom",bannersnack.com,13.333333333333334
5271,what do you call language that appeals to the senses and creates an impression?,66,200,3,,"Featured snippet, Thumbnail, People also ask",bannersnack.com,66.66666666666667
5276,create bookmark,5,200,29,,"Shopping results, Thumbnail, Featured snippet, Top stories, People also ask",bannersnack.com,6.896551724137931
5441,how to create a banner in photoshop,44,200,12,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,16.666666666666668
5490,how to create slideshow,21,200,22,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Video, Image pack",bannersnack.com,9.090909090909092
5494,create your own ecard,16,200,22,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,9.090909090909092
5518,which website created cyber monday,90,200,31,,"Featured snippet, Thumbnail, People also ask, Sitelinks",bannersnack.com,6.451612903225806
5568,how to create a social network,98,200,36,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, People also ask, Adwords bottom",bannersnack.com,5.555555555555555
5663,creative poster designs,5,150,15,,"Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,10.0
5668,google ad creator,6,150,16,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom",bannersnack.com,9.375
5687,create christmas cards online,77,150,29,,"Shopping results, Thumbnail, Adwords top, Top stories, People also ask, Adwords bottom, Sitelinks",bannersnack.com,5.172413793103448
5688,slideshowcreator net,21,150,23,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video",bannersnack.com,6.521739130434782
5694,create advertising group,62,150,1,,"Adwords top, Sitelinks, Top stories, Thumbnail",bannersnack.com,150.0
5698,how to create videos,95,150,38,Video,"Adwords top, Video, People also ask",bannersnack.com,3.9473684210526314
5707,free mood board creator online,4,150,27,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",bannersnack.com,5.555555555555555
5735,create a birthday card free,14,150,36,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom",bannersnack.com,4.166666666666667
5804,create a photo web site,40,150,12,,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom",bannersnack.com,12.5
5839,fraction creator,84,150,23,,"People also ask, Video, Image pack",bannersnack.com,6.521739130434782
5903,create birthday card online,14,150,27,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Shopping results",bannersnack.com,5.555555555555555
5922,creative flyer,46,150,34,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,4.411764705882353
5959,create artwork,63,150,13,,"Top stories, Thumbnail, People also ask, Image pack",bannersnack.com,11.538461538461538
6012,baby creator with pictures,42,150,37,,"Sitelinks, Image pack, Video",bannersnack.com,4.054054054054054
6023,text gif creator,22,150,23,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",bannersnack.com,6.521739130434782
6084,creative outdoor advertising,74,150,2,,"Sitelinks, Image pack, Top stories, Thumbnail",bannersnack.com,75.0
6130,ucreative.com,34,150,5,,"Sitelinks, Image pack, Video",bannersnack.com,30.0
6167,create birthday cards online,16,150,24,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Shopping results",bannersnack.com,6.25
6188,create your own nba team,38,150,8,,"Top stories, Thumbnail, People also ask, Video, Image pack",bannersnack.com,18.75
6238,creative commercials,50,150,17,,"Top stories, Thumbnail, People also ask, Image pack",bannersnack.com,8.823529411764707
6246,how to create a slideshow in html,21,150,30,,"Top stories, Thumbnail, People also ask, Image pack",bannersnack.com,5.0
6286,create keep calm meme,2,150,15,Image pack,"Image pack, Sitelinks",bannersnack.com,10.0
6328,www slideshowcreator net,19,150,23,,"Adwords top, Sitelinks, Top stories, Thumbnail, Video",bannersnack.com,6.521739130434782
6397,how to create a newsletter in gmail,75,150,1,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,150.0
6433,colors that inspire creativity,89,150,9,,"Featured snippet, Thumbnail, People also ask, Image pack",bannersnack.com,16.666666666666668
6443,how to create a persona for yourself,61,150,7,,"Featured snippet, People also ask, Adwords bottom, Sitelinks",bannersnack.com,21.428571428571427
6475,newsletter creator for gmail,82,150,20,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",bannersnack.com,7.5
6479,create a podcast on itunes,87,150,13,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,11.538461538461538
6655,create your own email address,93,150,36,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Adwords bottom",bannersnack.com,4.166666666666667
6776,creative ways to advertise,7,150,36,,"Featured snippet, Thumbnail, People also ask, Image pack, Video",bannersnack.com,4.166666666666667
6784,how to create a photo slideshow with music,25,150,39,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Video, Adwords bottom",bannersnack.com,3.8461538461538463
7072,ecard creator,12,150,26,,"Adwords top, Sitelinks, People also ask, Video, Adwords bottom",bannersnack.com,5.769230769230769
7081,create video from images,36,150,12,,"Adwords top, Sitelinks, Featured snippet, Video, People also ask, Image pack, Adwords bottom",bannersnack.com,12.5
7126,creative copy,43,150,6,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,25.0
7131,slideshowcreator.net,23,150,23,,"Adwords top, Sitelinks, Top stories, Thumbnail, Image pack",bannersnack.com,6.521739130434782
7179,create a text image,60,150,34,,"Featured snippet, Sitelinks, Top stories, Thumbnail, People also ask, Image pack",bannersnack.com,4.411764705882353
7185,slideshow creator.net,24,150,23,,"Adwords top, Sitelinks, Top stories, Thumbnail, Image pack",bannersnack.com,6.521739130434782
7205,creative health products,84,150,1,,"Sitelinks, Image pack",bannersnack.com,150.0
7212,how to create a header,54,150,7,,"Featured snippet, Thumbnail, People also ask, Video",bannersnack.com,21.428571428571427
7286,creator up,40,150,9,,"Sitelinks, Top stories, Thumbnail, Image pack",bannersnack.com,16.666666666666668
7312,how to create a slide show,19,150,22,,"Adwords top, Sitelinks, Featured snippet, People also ask, Video",bannersnack.com,6.818181818181818
7315,booklet creator online,44,150,26,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video, Adwords bottom",bannersnack.com,5.769230769230769
7341,create video from still images,50,150,8,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Video, Image pack",bannersnack.com,18.75
7461,interior design mood board creator,17,150,36,,"Sitelinks, Top stories, Thumbnail, Image pack, People also ask",bannersnack.com,4.166666666666667
7518,which of these can be created to run on the display network,65,150,2,,"People also ask, Video",bannersnack.com,75.0
7535,create birthday party invitations,82,150,33,,"Adwords top, Sitelinks, Featured snippet, Top stories, Thumbnail, People also ask, Image pack, Shopping results",bannersnack.com,4.545454545454546
7552,how to create a commercial,42,150,10,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, People also ask",bannersnack.com,15.0
7572,creating slideshow with music,26,150,32,,"Adwords top, Sitelinks, Featured snippet, People also ask, Video",bannersnack.com,4.6875
7625,slideshow creator app,21,150,27,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",bannersnack.com,5.555555555555555
7636,free online magazine creator,48,150,33,,"Adwords top, Sitelinks, People also ask, Video, Image pack",bannersnack.com,4.545454545454546
7665,create slideshow with google photos,49,150,9,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,16.666666666666668
7801,video ad creator,10,100,26,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video, Adwords bottom",bannersnack.com,3.8461538461538463
7834,best slideshow creator,41,100,34,,"Featured snippet, Thumbnail, People also ask, Top stories, Video",bannersnack.com,2.9411764705882355
7843,create header,4,100,12,,"Sitelinks, People also ask, Top stories, Thumbnail",bannersnack.com,8.333333333333334
7871,creative financial services,17,100,10,,Sitelinks,bannersnack.com,10.0
7876,best gif creator,27,100,28,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,3.5714285714285716
7881,ad creation,4,100,19,,"Adwords top, Sitelinks, People also ask, Video",bannersnack.com,5.2631578947368425
7923,create slideshow from photos,8,100,38,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Video",bannersnack.com,2.6315789473684212
7942,creativity challenge,44,100,4,,"Top stories, Thumbnail, People also ask, Video, Knowledge panel",bannersnack.com,25.0
7955,how to create video from photos,31,100,14,,"Adwords top, Sitelinks, Featured snippet, People also ask, Video",bannersnack.com,7.142857142857143
7993,creating a personal brand identity,26,100,23,,"Featured snippet, Thumbnail, People also ask",bannersnack.com,4.3478260869565215
8009,ad creator app,2,100,32,,"Adwords top, Sitelinks, People also ask, Adwords bottom",bannersnack.com,3.125
8019,creating slideshow in elements 2018,44,100,1,,"Featured snippet, Top stories, Thumbnail, People also ask",bannersnack.com,100.0
8095,podcast artwork creator,34,100,3,Image pack,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Video, Image pack",bannersnack.com,33.333333333333336
8112,create birthday meme,19,100,4,,"Image pack, Top stories, Thumbnail",bannersnack.com,25.0
8125,create wedding invitations free,39,100,35,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom, Shopping results",bannersnack.com,2.857142857142857
8181,create baby shower invitations online free,50,100,20,,"Sitelinks, People also ask, Top stories, Thumbnail, Video, Image pack",bannersnack.com,5.0
8189,create christmas cards online free,17,100,25,,"Adwords top, Sitelinks, Image pack, Top stories, Thumbnail, People also ask, Adwords bottom, Shopping results",bannersnack.com,4.0
8235,creative gifs,76,100,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,100.0
8254,create your own clipart,87,100,4,,"Featured snippet, Thumbnail, Top stories, People also ask, Image pack",bannersnack.com,25.0
8332,how to create an email blast,96,100,22,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,4.545454545454546
8372,another creative in the ad group was selected over this one.,72,100,4,,"Image pack, Video",bannersnack.com,25.0
8436,create your own party invitations,17,100,39,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Featured snippet, People also ask, Top stories",bannersnack.com,2.5641025641025643
8456,creative invites and events,38,100,1,,,bannersnack.com,100.0
8459,how to create brand awareness,55,100,36,,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,2.7777777777777777
8475,create etsy banner,66,100,5,Image pack,"Top stories, Thumbnail, People also ask, Image pack",bannersnack.com,20.0
8493,create slideshow in google photos,50,100,8,,"Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,12.5
8529,create keep calm memes,9,100,15,,"Sitelinks, Video, Adwords bottom",bannersnack.com,6.666666666666667
8567,creative posters design,7,100,17,,"Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,5.882352941176471
8588,creative products ideas,43,100,15,,"People also ask, Top stories, Thumbnail, Adwords bottom, Sitelinks",bannersnack.com,6.666666666666667
8651,create picture slideshow with music,19,100,39,,"Adwords top, Sitelinks, Featured snippet, Top stories, Thumbnail, Video, Adwords bottom",bannersnack.com,2.5641025641025643
8690,create birthday card online free,12,100,23,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom",bannersnack.com,4.3478260869565215
8697,create video loop online,45,100,12,,"People also ask, Video, Adwords bottom, Sitelinks",bannersnack.com,8.333333333333334
8719,how to create image with transparent background,98,100,33,,"Featured snippet, Sitelinks, Top stories, Thumbnail, Video",bannersnack.com,3.0303030303030303
8776,create slideshow from google photos,49,100,6,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,16.666666666666668
8782,creative black friday campaigns,35,100,12,,"Image pack, People also ask",bannersnack.com,8.333333333333334
8796,create your own keep calm,9,100,26,,"Sitelinks, People also ask, Video",bannersnack.com,3.8461538461538463
8822,create your own advertisement,1,100,26,Featured snippet,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",bannersnack.com,3.8461538461538463
8884,cartoon image creator pro,49,100,1,,"Image pack, Video",bannersnack.com,100.0
8921,creative posters designs,6,100,17,,"Image pack, Sitelinks, People also ask, Top stories, Thumbnail",bannersnack.com,5.882352941176471
8952,how to create a video with pictures and music,34,100,31,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",bannersnack.com,3.225806451612903
8976,creativity challenge community,81,100,1,,"Sitelinks, Top stories, Thumbnail, Image pack",bannersnack.com,100.0
8999,how to create an etsy account,57,100,22,,"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks",bannersnack.com,4.545454545454546
9010,create digital,19,100,10,,"Featured snippet, Thumbnail, Sitelinks, Top stories",bannersnack.com,10.0
9026,create a slideshow with pictures,8,100,40,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Video, Adwords bottom",bannersnack.com,2.5
9036,create banner in photoshop,47,100,12,,"Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,8.333333333333334
9083,how to create a patreon,19,100,9,,"Adwords top, Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Image pack",bannersnack.com,11.11111111111111
9122,which ad format is easiest to create and edit,28,100,1,,"Featured snippet, Thumbnail, People also ask, Video",bannersnack.com,100.0
9156,create your own graduation invitations,76,100,20,,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom, Shopping results",bannersnack.com,5.0
9216,website that created cyber monday,65,100,31,,"Featured snippet, Thumbnail, People also ask, Sitelinks",bannersnack.com,3.225806451612903
9232,create a keep calm meme,5,100,15,,"Image pack, Video",bannersnack.com,6.666666666666667
9259,how to create slideshow with music,32,100,23,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Video",bannersnack.com,4.3478260869565215
9283,how to create a picture slideshow with music,28,100,35,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Video, Adwords bottom",bannersnack.com,2.857142857142857
9324,create mp4 from images,61,100,13,,"Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,7.6923076923076925
9350,creative business cards templates,70,100,18,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Shopping results",bannersnack.com,5.555555555555555
9393,creative product ideas,47,100,15,,"People also ask, Top stories, Thumbnail",bannersnack.com,6.666666666666667
9440,creative personal branding examples,35,100,12,,"Featured snippet, Thumbnail, People also ask, Image pack",bannersnack.com,8.333333333333334
9456,sack create,22,100,34,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Shopping results",bannersnack.com,2.9411764705882355
9459,creative flyer design,27,100,36,,"Shopping results, Thumbnail, Top stories, People also ask, Knowledge panel",bannersnack.com,2.7777777777777777
