,Intent,Keyword,Position,Volume,Difficulty,Page URL inside,SERP Features,Website,Coefficient
1727,H,creativebanner,64,500,1,,"Top stories, Thumbnail, Image pack, Video",bannersnack.com,500
401,N,banner health,68,48000,24,,"Sitelinks, People also ask",bannersnack.com,2000
430,M,bannersnack,1,8900,12,Sitelinks,"Sitelinks, People also ask, Top stories, Thumbnail",bannersnack.com,741.6666667
434,M,mybanner,78,8700,12,,"Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,725
450,M,christmas banner,26,6700,2,,"Top stories, Thumbnail",bannersnack.com,3350
1842,H,display banners,17,450,21,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Image pack, People also ask, Adwords bottom",bannersnack.com,21.42857143
475,M,my banner,21,5100,26,,Sitelinks,bannersnack.com,196.1538462
478,M,banner background,39,5000,5,,"Shopping results, Thumbnail, Sitelinks, Top stories",bannersnack.com,1000
1942,H,banner real estate,24,450,9,,"Adwords top, Sitelinks",bannersnack.com,50
484,M,banner size,3,4800,9,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,533.3333333
490,N,banner hospital,78,4600,12,,"Sitelinks, People also ask, Video",bannersnack.com,383.3333333
497,N,touch the banner,84,4400,1,,"Sitelinks, Tweet box, Top stories, Thumbnail",bannersnack.com,4400
514,M,banner sizes,2,4000,18,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,222.2222222
1981,H,banner design ideas,2,450,6,,"Shopping results, Thumbnail, Image pack, People also ask, Top stories",bannersnack.com,75
524,M,etsy banner size,8,3700,2,,"Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,1850
530,M,pop up banner,79,3600,30,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Shopping results, Knowledge panel",bannersnack.com,120
551,M,standard banner,4,3100,6,,Sitelinks,bannersnack.com,516.6666667
555,M,cool banners,9,3100,7,,"Top stories, Thumbnail, People also ask",bannersnack.com,442.8571429
569,M,white banner,37,2900,1,,"Sitelinks, Top stories, Thumbnail",bannersnack.com,2900
574,M,banner image,4,2900,5,,"Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,580
585,M,banner images,3,2700,5,,Sitelinks,bannersnack.com,540
612,N,banner jobs,32,2300,10,,Sitelinks,bannersnack.com,230
620,M,how to draw a banner,41,2300,1,,"Top stories, Thumbnail, People also ask, Video",bannersnack.com,2300
637,M,blue banner,45,2200,1,,,bannersnack.com,2200
33962,H,1200x480 banner,16,450,16,,"Image pack, People also ask, Top stories, Thumbnail",visme.co,28.125
664,L,banner definition,45,2100,10,,"Knowledge card, People also ask, Top stories, Thumbnail",bannersnack.com,210
34648,H,banner maker app,23,450,39,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",visme.co,11.53846154
679,M,banner shapes,82,2000,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,2000
2087,H,banner design templates,1,400,35,Sitelinks,"Adwords top, Sitelinks, Image pack, People also ask, Top stories, Thumbnail, Adwords bottom, Shopping results",bannersnack.com,11.42857143
700,M,standard banner sizes,3,1900,12,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Featured snippet, People also ask, Top stories",bannersnack.com,158.3333333
702,M,website banner size,3,1900,11,,"Featured snippet, Thumbnail, People also ask, Sitelinks",bannersnack.com,172.7272727
704,M,happy new year banner,39,1900,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,1900
741,M,pop up banners,80,1700,23,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Video, Adwords bottom, Shopping results, Knowledge panel",bannersnack.com,73.91304348
745,M,vintage banner,47,1700,1,,"Top stories, Thumbnail",bannersnack.com,1700
752,M,banner ad sizes,1,1700,21,Featured snippet,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,80.95238095
2181,H,creative banner displays,31,400,1,,"Adwords top, Sitelinks, Image pack, Video",bannersnack.com,400
755,L,transparent banner,10,1700,1,,"Sitelinks, Top stories, Thumbnail",bannersnack.com,1700
763,M,web banner sizes,3,1600,17,,"Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom, Sitelinks",bannersnack.com,94.11764706
769,L,bing banners,42,1600,5,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Video",bannersnack.com,320
774,L,banner transparent,11,1600,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,1600
787,S,happy mothers day banner,30,1500,1,,Video,bannersnack.com,1500
797,M,text banner,64,1500,8,,"Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,187.5
801,S,christmas banners,29,1500,2,,"Top stories, Thumbnail",bannersnack.com,750
805,S,summer banner,39,1500,1,,"Top stories, Thumbnail, Video",bannersnack.com,1500
2330,H,banner display,40,400,22,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Shopping results, Knowledge panel",bannersnack.com,18.18181818
2332,H,display banner,10,400,23,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",bannersnack.com,17.39130435
862,M,banner shape,46,1400,1,,"People also ask, Top stories, Thumbnail",bannersnack.com,1400
867,M,banner font,3,1300,5,,"Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,260
881,M,banner dimensions,2,1300,5,Image pack,"Shopping results, Thumbnail, Featured snippet, Image pack, People also ask, Top stories",bannersnack.com,260
906,M,cool banner,6,1300,1,,"Top stories, Thumbnail, People also ask",bannersnack.com,1300
925,M,cool banner designs,8,1200,9,,"Top stories, Thumbnail, People also ask",bannersnack.com,133.3333333
934,M,music banner,22,1200,1,,"Top stories, Thumbnail",bannersnack.com,1200
986,L,pink banner,78,1100,1,,"Top stories, Thumbnail",bannersnack.com,1100
987,M,banner snack,1,1100,21,Sitelinks,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,52.38095238
1010,N,someone to you banners,67,1100,3,,Video,bannersnack.com,366.6666667
1019,L,patreon banner size,5,1100,1,,"Featured snippet, Thumbnail, People also ask, Video",bannersnack.com,1100
1034,N,how to draw banners,38,1100,1,,"Top stories, Thumbnail, People also ask",bannersnack.com,1100
37287,H,fashion banner,48,400,1,,"Top stories, Thumbnail",visme.co,400
1065,L,background banner,19,1000,4,,"Shopping results, Thumbnail, Sitelinks, Top stories, Adwords bottom",bannersnack.com,250
1079,L,banner email,4,1000,16,,"Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,62.5
40265,H,create banner online,101,400,40,Image pack,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom, Shopping results",visme.co,10
1113,N,banner letters,61,900,6,,"Shopping results, Thumbnail, Top stories, Sitelinks, Adwords bottom",bannersnack.com,150
1138,L,photo banner,39,900,10,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom, Shopping results",bannersnack.com,90
1140,N,tattoo banners,73,900,2,,"Top stories, Thumbnail",bannersnack.com,450
1145,N,bunting banner,81,900,1,,"Top stories, Thumbnail",bannersnack.com,900
1161,M,banner advertising,4,800,37,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom, Shopping results",bannersnack.com,21.62162162
1168,S,mothers day banner,59,800,1,,"Top stories, Thumbnail",bannersnack.com,800
1186,M,advertising banners,11,800,22,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Top stories, People also ask, Adwords bottom",bannersnack.com,36.36363636
1189,L,school banner,7,800,1,,,bannersnack.com,800
1197,L,banner transparent background,15,800,2,,"Top stories, Thumbnail",bannersnack.com,400
1199,N,welcome back banner,96,800,1,,"Top stories, Thumbnail",bannersnack.com,800
1202,L,banner pictures,8,800,4,,"Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,200
1221,L,banner meaning,37,800,10,,"Knowledge card, Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,80
1236,L,html banner,6,700,3,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,233.3333333
1254,N,how to make a banner in word,21,700,3,,"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks",bannersnack.com,233.3333333
1304,S,valentines day banner,39,700,1,,"Shopping results, Thumbnail",bannersnack.com,700
2453,H,books banner,12,350,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,350
2476,H,sold banner,98,350,1,,Image pack,bannersnack.com,350
2605,H,webbanner,19,350,15,,"Image pack, Top stories, Thumbnail, People also ask",bannersnack.com,23.33333333
2689,H,fitness banner,9,350,1,,"Shopping results, Thumbnail, Sitelinks, Top stories, Video, Knowledge panel",bannersnack.com,350
2705,H,amazon banners,40,350,1,,"Shopping results, Thumbnail, Image pack, Top stories",bannersnack.com,350
1399,N,printable banner template,39,600,14,,"Top stories, Thumbnail",bannersnack.com,42.85714286
2753,H,restaurant banner,13,350,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,350
1459,L,patreon banner,3,600,1,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,600
1463,S,new year banner,46,600,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,600
1474,L,define banner,86,600,12,Image pack,"Knowledge card, People also ask, Sitelinks, Image pack",bannersnack.com,50
33294,H,banner design online,11,350,40,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom",visme.co,8.75
2769,H,education banner,1,300,1,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,300
1510,N,banner template word,11,600,8,,"Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,75
1545,M,web banner size,3,600,17,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories",bannersnack.com,35.29411765
1552,M,ad banner sizes,1,500,25,Featured snippet,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Image pack, Top stories",bannersnack.com,20
1554,L,back to school banner,27,500,1,,,bannersnack.com,500
1555,M,yellow banner,85,500,1,,,bannersnack.com,500
1559,L,photo banners,53,500,11,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom, Shopping results, Knowledge panel",bannersnack.com,45.45454545
1565,S,mother's day banner,93,500,1,,"Top stories, Thumbnail",bannersnack.com,500
2780,H,marketing banner,17,300,11,,"People also ask, Knowledge panel",bannersnack.com,27.27272727
1593,M,ad banner,2,500,37,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",bannersnack.com,13.51351351
1626,M,black and white banner,30,500,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,500
2912,H,sale banners,31,300,1,,"Adwords top, Sitelinks, Image pack, Top stories, Thumbnail, Adwords bottom, Shopping results",bannersnack.com,300
3081,H,real estate banners,11,300,1,,"Shopping results, Thumbnail, Adwords top, Adwords bottom, Sitelinks, Knowledge panel",bannersnack.com,300
3153,H,website banner dimensions,4,300,15,Image pack,"Featured snippet, Thumbnail, Sitelinks, Image pack, Top stories",bannersnack.com,20
1700,L,photoshop banner,18,500,14,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video, Knowledge panel",bannersnack.com,35.71428571
1715,S,it is your birthday banner,37,500,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,500
3206,H,web banner dimensions,3,300,9,Image pack,"Featured snippet, Thumbnail, People also ask, Image pack, Sitelinks, Top stories",bannersnack.com,33.33333333
1736,N,cinco de mayo banner,32,500,3,,"Image pack, Top stories, Thumbnail, Sitelinks, People also ask",bannersnack.com,166.6666667
1742,N,logo banner,15,500,37,,"Shopping results, Thumbnail, Adwords top, People also ask, Top stories, Adwords bottom, Sitelinks, Knowledge panel",bannersnack.com,13.51351351
1756,L,what is a banner,4,500,24,,"Knowledge card, People also ask, Sitelinks, Top stories, Thumbnail",bannersnack.com,20.83333333
1760,N,heart with banner,78,500,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,500
1803,L,email banner size,19,500,14,,"Featured snippet, Thumbnail, People also ask, Image pack",bannersnack.com,35.71428571
1819,N,fire banner,23,450,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,450
1824,N,flag banner template,47,450,2,,"Image pack, Top stories, Thumbnail",bannersnack.com,225
1834,M,etsy banners,8,450,4,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Top stories, Image pack",bannersnack.com,112.5
3237,H,728 x 90 banner,13,300,1,,"Image pack, People also ask, Top stories, Thumbnail, Video",bannersnack.com,300
1846,M,banner ad design,3,450,29,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,15.51724138
1855,M,digital banner,1,450,26,Image pack,"Adwords top, Sitelinks, Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,17.30769231
1880,M,banner fonts,4,450,11,,"Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,40.90909091
1888,N,hearts with banner,45,450,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,450
1902,M,blank banner template,11,450,1,,"Image pack, Top stories, Thumbnail, Video",bannersnack.com,450
1909,N,banner intranet,64,450,6,,"Sitelinks, People also ask, Image pack, Top stories, Thumbnail",bannersnack.com,75
1934,N,team banner,75,450,17,,"Adwords top, Sitelinks, Image pack, Top stories, Thumbnail, Adwords bottom, Shopping results",bannersnack.com,26.47058824
1940,M,banner ads examples,2,450,28,Image pack,"Adwords top, Sitelinks, Featured snippet, Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,16.07142857
3366,H,makeup banner,89,300,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,300
1946,L,banner gif,6,450,1,,"Sitelinks, Top stories, Thumbnail, Video, Knowledge panel",bannersnack.com,450
1950,M,etsy banner maker,3,450,6,,"People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,75
1977,N,hearts banners,81,450,1,,"Image pack, Sitelinks, Top stories, Thumbnail",bannersnack.com,450
36886,H,banner design template,46,300,38,,"Adwords top, Sitelinks, Image pack, People also ask, Top stories, Thumbnail",visme.co,7.894736842
1988,L,google forms banner size,47,450,1,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,450
1991,S,valentine banner,1,450,1,Image pack,"Image pack, Top stories, Thumbnail, Shopping results",bannersnack.com,450
2003,N,pixel banner,27,450,8,,"Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,56.25
2013,N,banner scroll,89,450,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,450
2014,M,how to make a banner in photoshop,43,400,12,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Video",bannersnack.com,33.33333333
2034,N,banner hospital jobs,49,400,6,,"Sitelinks, Image pack",bannersnack.com,66.66666667
2042,L,quality banner,41,400,31,,"Sitelinks, Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,12.90322581
2045,L,banner psd,18,400,5,,"Sitelinks, Image pack, Top stories, Thumbnail",bannersnack.com,80
2050,M,shopify banner size,54,400,1,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,400
2054,N,word banner,19,400,4,,"Top stories, Thumbnail, People also ask, Sitelinks, Knowledge panel",bannersnack.com,100
2067,L,standard vinyl banner sizes,53,400,4,,"Featured snippet, Thumbnail, People also ask, Image pack, Sitelinks",bannersnack.com,100
37121,H,banner maker software,48,300,24,,"People also ask, Sitelinks, Top stories, Thumbnail, Video, Adwords bottom, Shopping results, Knowledge panel",visme.co,12.5
2117,L,meme banner,47,400,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,400
2131,M,what is a banner ad,1,400,38,,"People also ask, Sitelinks, Top stories, Thumbnail",bannersnack.com,10.52631579
2147,M,the standard banner,9,400,6,,Sitelinks,bannersnack.com,66.66666667
2153,N,conference banner,14,400,19,,"Image pack, Sitelinks, People also ask",bannersnack.com,21.05263158
37132,H,travel banner,47,300,1,,"Image pack, Top stories, Thumbnail",visme.co,300
2187,M,banner healthcare,51,400,18,,"Sitelinks, People also ask, Image pack",bannersnack.com,22.22222222
2194,M,standard banner size,4,400,11,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Featured snippet, People also ask, Image pack, Top stories",bannersnack.com,36.36363636
2198,M,banners music,37,400,7,,"Sitelinks, Top stories, Thumbnail, People also ask, Image pack",bannersnack.com,57.14285714
2203,L,what is banner,8,400,19,,"Top stories, Thumbnail, People also ask, Image pack",bannersnack.com,21.05263158
2205,L,banner border,13,400,1,,"Image pack, Top stories, Thumbnail, Video",bannersnack.com,400
2210,L,coffee banner,14,400,1,,"Shopping results, Thumbnail, Image pack, Top stories",bannersnack.com,400
2216,M,banner examples,1,400,9,Image pack,"Image pack, People also ask",bannersnack.com,44.44444444
2251,L,companies banners,11,400,37,,"Adwords top, Sitelinks, Image pack, People also ask, Adwords bottom",bannersnack.com,10.81081081
2267,N,bachlorette party banner,51,400,1,,"Shopping results, Thumbnail, Adwords top, Image pack, Top stories",bannersnack.com,400
3432,H,banner online vassar,24,250,1,Image pack,"Sitelinks, Image pack, Video",bannersnack.com,250
3441,H,black friday banners,1,250,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,250
2337,L,css banner,98,400,3,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,133.3333333
2339,M,photoshop banner templates,19,400,4,,"Top stories, Thumbnail, Sitelinks, Adwords bottom, Knowledge panel",bannersnack.com,100
2370,L,banner benefits,36,350,18,,"Featured snippet, Sitelinks, People also ask",bannersnack.com,19.44444444
2413,L,technology banner,5,350,1,,"Image pack, Video",bannersnack.com,350
2417,L,animated banner,3,350,17,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,20.58823529
2429,M,banner ad examples,1,350,28,Image pack,"Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,12.5
2442,N,do not interact banner,64,350,1,,Image pack,bannersnack.com,350
2450,M,advertising banner,11,350,31,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Image pack, People also ask, Top stories, Adwords bottom",bannersnack.com,11.29032258
2452,L,google form banner size,57,350,1,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,350
3605,H,website banner advertisement,3,250,40,,"Adwords top, Sitelinks, Image pack, Top stories, Thumbnail, People also ask, Adwords bottom",bannersnack.com,6.25
3874,H,holiday banners,28,250,1,,"Shopping results, Thumbnail, Knowledge panel",bannersnack.com,250
2486,M,standard web banner sizes,1,350,12,Featured snippet,"Featured snippet, Thumbnail, People also ask, Sitelinks, Image pack",bannersnack.com,29.16666667
2497,S,valentines banner,22,350,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,350
2499,N,free printable banner templates,24,350,16,,"Image pack, Adwords bottom",bannersnack.com,21.875
2510,N,banners got it in you,79,350,1,,"Video, Image pack",bannersnack.com,350
2547,M,digital banners,3,350,37,,"Shopping results, Thumbnail, People also ask, Sitelinks, Top stories, Adwords bottom",bannersnack.com,9.459459459
2548,L,social media banners,1,350,4,,"Adwords top, People also ask, Top stories, Thumbnail, Adwords bottom, Sitelinks, Knowledge panel",bannersnack.com,87.5
2570,N,2018 banner,5,350,14,,"Image pack, Top stories, Thumbnail",bannersnack.com,25
2585,M,etsy shop banner,12,350,1,,"Featured snippet, Thumbnail, People also ask, Image pack, Top stories, Video",bannersnack.com,350
2592,M,simple banner,8,350,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,350
2598,L,orange banner,88,350,1,,Image pack,bannersnack.com,350
3884,H,marketing banners,102,250,22,Knowledge panel,"People also ask, Knowledge panel",bannersnack.com,11.36363636
2617,N,free printable banners,91,350,16,,"Image pack, Sitelinks, Top stories, Thumbnail",bannersnack.com,21.875
2623,S,valentine's day banner,1,350,1,Image pack,"Shopping results, Thumbnail, Image pack",bannersnack.com,350
2626,L,banner background hd,24,350,4,,"Image pack, Sitelinks, Top stories, Thumbnail, Video",bannersnack.com,87.5
2628,M,text banners,27,350,24,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,14.58333333
2632,M,banner photoshop,74,350,9,,"Top stories, Thumbnail, People also ask, Sitelinks, Video, Knowledge panel",bannersnack.com,38.88888889
2677,L,title banner,80,350,1,,"People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,350
2687,L,dog banner,16,350,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,350
3889,H,best banners,4,250,26,,"Adwords top, Sitelinks, Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,9.615384615
2697,M,modern banner,19,350,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,350
2704,N,got it in you banners,64,350,1,,Video,bannersnack.com,350
3975,H,jewelry banner,6,250,1,,"Shopping results, Thumbnail",bannersnack.com,250
2725,M,canva banner,87,350,11,,"Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,31.81818182
2736,N,gender reveal banner,30,350,1,,"Shopping results, Thumbnail, Image pack, Video",bannersnack.com,350
2748,M,typical banner size,2,350,5,Image pack,"Shopping results, Thumbnail, Adwords top, Image pack",bannersnack.com,70
4114,H,what is banner software,54,250,2,,"Featured snippet, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,125
4145,H,for sale banner,59,250,4,,"Adwords top, Sitelinks, Image pack, People also ask, Adwords bottom, Shopping results, Thumbnail",bannersnack.com,62.5
34012,H,creating a banner,16,250,35,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Adwords bottom",visme.co,7.142857143
2796,M,banner marketing,7,300,11,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,27.27272727
2854,L,animations banners,2,300,18,,"Top stories, Thumbnail, People also ask, Video, Knowledge panel",bannersnack.com,16.66666667
2861,L,animations banner,4,300,33,,"Top stories, Thumbnail, People also ask, Adwords bottom, Sitelinks, Knowledge panel",bannersnack.com,9.090909091
2862,L,what does banner means,36,300,14,,"Knowledge card, People also ask, Top stories, Thumbnail",bannersnack.com,21.42857143
2863,N,flesh banner,26,300,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,300
2876,L,phtoshop banner,50,300,16,,"Top stories, Thumbnail, People also ask, Sitelinks, Video, Knowledge panel",bannersnack.com,18.75
2882,N,nike banner,36,300,12,,"Image pack, Top stories, Thumbnail",bannersnack.com,25
2891,N,young living banners,89,300,1,,"Adwords top, Sitelinks, Video, Adwords bottom, Knowledge panel",bannersnack.com,300
2897,M,etsy banner dimensions,5,300,2,Image pack,"Featured snippet, Thumbnail, People also ask, Image pack, Top stories",bannersnack.com,150
4454,H,web banner ads,3,200,40,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",bannersnack.com,5
2957,N,the banner store,96,300,1,,"Adwords top, Sitelinks",bannersnack.com,300
2973,L,ice cream banner,48,300,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,300
2986,M,best banner ads,3,300,28,,"Adwords top, Sitelinks, Featured snippet, Image pack, People also ask, Adwords bottom",bannersnack.com,10.71428571
